#separator:tab
#html:true
Disjoint sets	A\(\cup\)B=\(\emptyset\)
Sequence	A function that maps natural numbers to real numbers&nbsp;<br>written as&nbsp;\((a_n)_{n\ge1}\)<br>in this course, we write&nbsp;\(a_n\)&nbsp;or&nbsp;\(a_1, a_2, ...\)&nbsp;if the context is clear it is a sequence and not one of its elements
Increasing sequence	\(\forall n\ge1\),&nbsp;\(a_{n+1}\ge a_n\)
monotonic sequence	If it is either increasing or decreasing, eg., the Fibonacci sequence is increasing and monotonic
Strictly increasing sequence	\(\forall n\ge 1, a_{n+1}\gt a_n\)
Convergence to a limit	it converges to a limit iff<br>\(\forall \epsilon &gt; 0, \exists N\in \mathbb{N} : \forall n&gt;N, |a_n-l|&lt;\epsilon\)
Converging to infinity	the sequence converges to infinity iff<br>\(\forall r\in \mathbb{R}, \exists N\in \mathbb{N}: \forall n&gt;N,  a_n&gt;r\)
Divergence&nbsp;	A sequence diverges iff it does not converge to infinity, -infinity or a real number<br>eg<br>\((-1)^n*n\)&nbsp;diverges
For&nbsp;\(a_n = \frac {1-e^{-n}} {2}\), guess the limit and prove directly that the sequence tends to that limit.	The sequence converges iff [convergence definition]<br>\(a_n\)&nbsp;converges to 1 from below, so let&nbsp;\(l=1\). We can form an inequality between n and&nbsp;\(\epsilon\):<br>|\(\frac {1-e^{-n}} {2}-1|&lt;\epsilon\)<br>\(\iff \frac {e^{-n}} {2}&lt;\epsilon\)<br>\(\iff e^{-n} &gt; 2\epsilon\)<br>\(\iff -n &lt; ln(2\epsilon)\)<br>\(\iff n&gt;-ln(2\epsilon)\)<br>Since this is a greater than inequality, we can write a function for N as:<br>\(N(\epsilon) = max(0, \lceil{-ln(2\epsilon)}\rceil)\)
"DIRECTLY<br><img src=""paste-20c540bd8f2f13829a0f8d74076b13ee0e724d0a.jpg"">"	Since we are only interested in when \(n\rightarrow \infty\), we can ignore when&nbsp;\(n&lt;1000\).<br>We can form an inequality between n and&nbsp;\(\epsilon\):<br>|\(\frac {1} {n^2} - 0| &lt; \epsilon \)<br>\(\iff \frac {1} {n^2} &lt; \epsilon\)<br>\(\iff n&gt;\frac {1} {\sqrt{\epsilon}}\)<br>So, we can write a function N as:<br>\(N(\epsilon) = max(1000, \lceil \frac {1} {\sqrt{\epsilon}} \rceil)\)
"SANDWICH THEOREM<br><img src=""paste-20c540bd8f2f13829a0f8d74076b13ee0e724d0a.jpg"">"	"Select an
 upper bounding sequence&nbsp;\(u_n\)&nbsp;= 1/n and a lower bounding
 sequence of&nbsp;\(l_n\)&nbsp;= 0. <br>We know that&nbsp;\(l_n \le a_n \le u_n \)&nbsp;and since&nbsp;\(l_n\)&nbsp;and&nbsp;\(u_n\)&nbsp;both converges to 0, using the sandwich theorem,&nbsp;\(a_n\)&nbsp;also converges to 0."
"Prove the sequence converges to 0 using direct proof:<br><img src=""paste-755704e7cbd1f740e56f2a1d79b239fcbd5cc86a.jpg"">"	Select a&nbsp;\(b_n = a_{2n}\)&nbsp;and&nbsp;\(c_n=a_{2n-1}\)<br>If we can prove both&nbsp;\(b_n\)&nbsp;and&nbsp;\(c_n\)&nbsp;tends to 0, then&nbsp;\(a_n \)&nbsp;also tends to 0.
SEQUENCES THAT CAN BE PROVED DIRECTLY	"<img src=""paste-1604f3bc5377c27b5c984ce6007655aaa8add7d9.jpg"">"
Combinations of sequences and limits	"<img src=""paste-242dd55a4ad10dde85bcfb90d999050549000840.jpg""><br><img src=""paste-782a8a2391e09037da3abcee8cc8a7423b04ddbb.jpg"">"
The Triangle Inequality	|a+b|&nbsp;\(\le\)&nbsp;|a| + |b|
Bounded sequence	\(\exists k&gt;0 : \forall n\ge 1, |a_n| \le k\)
2nd triangular inequality	\(|x|-|y| \le |x-y|\)<br>\(|x|-|y|\ge -|x-y|\)
"Prove<br><img src=""paste-aacab9dc37fdc5bf550a13a6ff07d366f03c9254.jpg"">"	"<img src=""paste-821c96320304463bbe439008205dabc2a744a645.jpg"">"
Proposition: If (an)n≥1 converges to a ∈ R, then it is bounded	"Let ϵ = 1 in the definition of convergence of (an)n≥1 to a. Then there exists
 N &gt;0such that |an−a|&lt;1 for n&gt;N. Thus, |an|=|an−a+a|≤|a|+|an−a|&lt;|a|+1 for
 all n &gt; N. Put k =max{|ai|:1≤i ≤N}∪{|a|+1}."
Establish if&nbsp;\(a_n=sin(1/n)\)&nbsp;converges or not	Using taylor's theorem,<br>-x &lt;= sinx &lt;= x<br>So, -1/n &lt;=sin(1/n) &lt;= 1/n<br>Since 1/n-&gt;0 and =1/n -&gt; 0 as n-&gt; infinity<br>sin(1/n) -&gt; 0 by the sandwich theorem
Prove that&nbsp;\(a_n = \sqrt{n} \rightarrow +\infty\)&nbsp;	Let&nbsp;\(k\)&nbsp;be given. Then&nbsp;\(a_n &gt; k\)&nbsp;ie&nbsp;\( \sqrt{n}&gt;k \implies n&gt;k^2\).<br>So put&nbsp;\(N = \lceil k^2 \rceil\)
Suppose&nbsp;\(a_n \rightarrow a\)&nbsp;for&nbsp;\(n \rightarrow \infty\), prove that&nbsp;\(a_{n_i} \rightarrow a\)&nbsp;for&nbsp;\(i\rightarrow \infty\)	Let&nbsp;\(\epsilon&gt;0\)<br>Using the definition of convergence, we know that&nbsp;\(\exists N &gt;0\)&nbsp;st&nbsp;\(\forall n_i&gt;N, |a_{n_i}-a|&lt;\epsilon\)<br>Claim&nbsp;\(\forall i&gt;N, |a_{n_i}-a|&lt;\epsilon\)<br>This is because&nbsp;\(n_i \ge i\), so since&nbsp;\(i&gt;N\),&nbsp;&nbsp;\(n_i\ge i&gt;N\), so&nbsp;\(n_i &gt; N\), which we know is true
Cauchy sequence	\(\forall \epsilon&gt;0, \exists N \in \mathbb{N} : \forall m, n&gt;N, |a_n-a_m| &lt; \epsilon\)
Prove every cauchy sequence is bounded	"<img src=""paste-951c32140714b477bbfcee3b3afc46768738c3b1.jpg"">"
Peak of a sequence&nbsp;\(a_k\)	\(\forall m&gt;k, \)\(a_k \ge a_m\)
